OrderID,accm_txn_create_time,accm_txn_complete_time,txn_process_time_hours
O10001,04:13.0,NULL,NULL
O10002,04:13.0,NULL,NULL
O10003,04:13.0,NULL,NULL
O10004,04:13.0,NULL,NULL
O10005,04:13.0,NULL,NULL
O10006,04:13.0,NULL,NULL
O10007,04:13.0,NULL,NULL
O10008,04:13.0,NULL,NULL
O10009,04:13.0,NULL,NULL
O10010,04:13.0,NULL,NULL
O10011,04:13.0,NULL,NULL
O10012,04:13.0,NULL,NULL
O10013,04:13.0,NULL,NULL
O10014,04:13.0,NULL,NULL
O10015,04:13.0,NULL,NULL
O10016,04:13.0,NULL,NULL
O10017,04:13.0,NULL,NULL
O10018,04:13.0,NULL,NULL
O10019,04:13.0,NULL,NULL
O10020,04:13.0,NULL,NULL
O10021,04:13.0,NULL,NULL
O10022,04:13.0,NULL,NULL
O10023,04:13.0,NULL,NULL
O10024,04:13.0,NULL,NULL
O10025,04:13.0,NULL,NULL
O10026,04:13.0,NULL,NULL
O10027,04:13.0,NULL,NULL
O10028,04:13.0,NULL,NULL
O10029,04:13.0,NULL,NULL
O10030,04:13.0,NULL,NULL
O10031,04:13.0,NULL,NULL
O10032,04:13.0,NULL,NULL
O10033,04:13.0,NULL,NULL
O10034,04:13.0,NULL,NULL
O10035,04:13.0,NULL,NULL
O10036,04:13.0,NULL,NULL
O10037,04:13.0,NULL,NULL
O10038,04:13.0,NULL,NULL
O10039,04:13.0,NULL,NULL
O10040,04:13.0,NULL,NULL
O10041,04:13.0,NULL,NULL
O10042,04:13.0,NULL,NULL
O10043,04:13.0,NULL,NULL
O10044,04:13.0,NULL,NULL
O10045,04:13.0,NULL,NULL
O10046,04:13.0,NULL,NULL
O10047,04:13.0,NULL,NULL
O10048,04:13.0,NULL,NULL
O10049,04:13.0,NULL,NULL
O10050,04:13.0,NULL,NULL
O10051,04:13.0,NULL,NULL
O10052,04:13.0,NULL,NULL
O10053,04:13.0,NULL,NULL
O10054,04:13.0,NULL,NULL
O10055,04:13.0,NULL,NULL
O10056,04:13.0,NULL,NULL
O10057,04:13.0,NULL,NULL
O10058,04:13.0,NULL,NULL
O10059,04:13.0,NULL,NULL
O10060,04:13.0,NULL,NULL
O10061,04:13.0,NULL,NULL
O10062,04:13.0,NULL,NULL
O10063,04:13.0,NULL,NULL
O10064,04:13.0,NULL,NULL
O10065,04:13.0,NULL,NULL
O10066,04:13.0,NULL,NULL
O10067,04:13.0,NULL,NULL
O10068,04:13.0,NULL,NULL
O10069,04:13.0,NULL,NULL
O10070,04:13.0,NULL,NULL
O10071,04:13.0,NULL,NULL
O10072,04:13.0,NULL,NULL
O10073,04:13.0,NULL,NULL
O10074,04:13.0,NULL,NULL
O10075,04:13.0,NULL,NULL
O10076,04:13.0,NULL,NULL
O10077,04:13.0,NULL,NULL
O10078,04:13.0,NULL,NULL
O10079,04:13.0,NULL,NULL
O10080,04:13.0,NULL,NULL
O10081,04:13.0,NULL,NULL
O10082,04:13.0,NULL,NULL
O10083,04:13.0,NULL,NULL
O10084,04:13.0,NULL,NULL
O10085,04:13.0,NULL,NULL
O10086,04:13.0,NULL,NULL
O10087,04:13.0,NULL,NULL
O10088,04:13.0,NULL,NULL
O10089,04:13.0,NULL,NULL
O10090,04:13.0,NULL,NULL
O10091,04:13.0,NULL,NULL
O10092,04:13.0,NULL,NULL
O10093,04:13.0,NULL,NULL
O10094,04:13.0,NULL,NULL
O10095,04:13.0,NULL,NULL
O10096,04:13.0,NULL,NULL
O10097,04:13.0,NULL,NULL
O10098,04:13.0,NULL,NULL
O10099,04:13.0,NULL,NULL
O10100,04:13.0,NULL,NULL
O10101,04:13.0,NULL,NULL
O10102,04:13.0,NULL,NULL
O10103,04:13.0,NULL,NULL
O10104,04:13.0,NULL,NULL
O10105,04:13.0,NULL,NULL
O10106,04:13.0,NULL,NULL
O10107,04:13.0,NULL,NULL
O10108,04:13.0,NULL,NULL
O10109,04:13.0,NULL,NULL
O10110,04:13.0,NULL,NULL
O10111,04:13.0,NULL,NULL
O10112,04:13.0,NULL,NULL
O10113,04:13.0,NULL,NULL
O10114,04:13.0,NULL,NULL
O10115,04:13.0,NULL,NULL
O10116,04:13.0,NULL,NULL
O10117,04:13.0,NULL,NULL
O10118,04:13.0,NULL,NULL
O10119,04:13.0,NULL,NULL
O10120,04:13.0,NULL,NULL
O10121,04:13.0,NULL,NULL
O10122,04:13.0,NULL,NULL
O10123,04:13.0,NULL,NULL
O10124,04:13.0,NULL,NULL
O10125,04:13.0,NULL,NULL
O10126,04:13.0,NULL,NULL
O10127,04:13.0,NULL,NULL
O10128,04:13.0,NULL,NULL
O10129,04:13.0,NULL,NULL
O10130,04:13.0,NULL,NULL
O10131,04:13.0,NULL,NULL
O10132,04:13.0,NULL,NULL
O10133,04:13.0,NULL,NULL
O10134,04:13.0,NULL,NULL
O10135,04:13.0,NULL,NULL
O10136,04:13.0,NULL,NULL
O10137,04:13.0,NULL,NULL
O10138,04:13.0,NULL,NULL
O10139,04:13.0,NULL,NULL
O10140,04:13.0,NULL,NULL
O10141,04:13.0,NULL,NULL
O10142,04:13.0,NULL,NULL
O10143,04:13.0,NULL,NULL
O10144,04:13.0,NULL,NULL
O10145,04:13.0,NULL,NULL
O10146,04:13.0,NULL,NULL
O10147,04:13.0,NULL,NULL
O10148,04:13.0,NULL,NULL
O10149,04:13.0,NULL,NULL
O10150,04:13.0,NULL,NULL
O10151,04:13.0,NULL,NULL
O10152,04:13.0,NULL,NULL
O10153,04:13.0,NULL,NULL
O10154,04:13.0,NULL,NULL
O10155,04:13.0,NULL,NULL
O10156,04:13.0,NULL,NULL
O10157,04:13.0,NULL,NULL
O10158,04:13.0,NULL,NULL
O10159,04:13.0,NULL,NULL
O10160,04:13.0,NULL,NULL
O10161,04:13.0,NULL,NULL
O10162,04:13.0,NULL,NULL
O10163,04:13.0,NULL,NULL
O10164,04:13.0,NULL,NULL
O10165,04:13.0,NULL,NULL
O10166,04:13.0,NULL,NULL
O10167,04:13.0,NULL,NULL
O10168,04:13.0,NULL,NULL
O10169,04:13.0,NULL,NULL
O10170,04:13.0,NULL,NULL
O10171,04:13.0,NULL,NULL
O10172,04:13.0,NULL,NULL
O10173,04:13.0,NULL,NULL
O10174,04:13.0,NULL,NULL
O10175,04:13.0,NULL,NULL
O10176,04:13.0,NULL,NULL
O10177,04:13.0,NULL,NULL
O10178,04:13.0,NULL,NULL
O10179,04:13.0,NULL,NULL
O10180,04:13.0,NULL,NULL
O10181,04:13.0,NULL,NULL
O10182,04:13.0,NULL,NULL
O10183,04:13.0,NULL,NULL
O10184,04:13.0,NULL,NULL
O10185,04:13.0,NULL,NULL
O10186,04:13.0,NULL,NULL
O10187,04:13.0,NULL,NULL
O10188,04:13.0,NULL,NULL
O10189,04:13.0,NULL,NULL
O10190,04:13.0,NULL,NULL
O10191,04:13.0,NULL,NULL
O10192,04:13.0,NULL,NULL
O10193,04:13.0,NULL,NULL
O10194,04:13.0,NULL,NULL
O10195,04:13.0,NULL,NULL
O10196,04:13.0,NULL,NULL
O10197,04:13.0,NULL,NULL
O10198,04:13.0,NULL,NULL
O10199,04:13.0,NULL,NULL
O10200,04:13.0,NULL,NULL
O10201,04:13.0,NULL,NULL
O10202,04:13.0,NULL,NULL
O10203,04:13.0,NULL,NULL
O10204,04:13.0,NULL,NULL
O10205,04:13.0,NULL,NULL
O10206,04:13.0,NULL,NULL
O10207,04:13.0,NULL,NULL
O10208,04:13.0,NULL,NULL
O10209,04:13.0,NULL,NULL
O10210,04:13.0,NULL,NULL
O10211,04:13.0,NULL,NULL
O10212,04:13.0,NULL,NULL
O10213,04:13.0,NULL,NULL
O10214,04:13.0,NULL,NULL
O10215,04:13.0,NULL,NULL
O10216,04:13.0,NULL,NULL
O10217,04:13.0,NULL,NULL
O10218,04:13.0,NULL,NULL
O10219,04:13.0,NULL,NULL
O10220,04:13.0,NULL,NULL
O10221,04:13.0,NULL,NULL
O10222,04:13.0,NULL,NULL
O10223,04:13.0,NULL,NULL
O10224,04:13.0,NULL,NULL
O10225,04:13.0,NULL,NULL
O10226,04:13.0,NULL,NULL
O10227,04:13.0,NULL,NULL
O10228,04:13.0,NULL,NULL
O10229,04:13.0,NULL,NULL
O10230,04:13.0,NULL,NULL
O10231,04:13.0,NULL,NULL
O10232,04:13.0,NULL,NULL
O10233,04:13.0,NULL,NULL
O10234,04:13.0,NULL,NULL
O10235,04:13.0,NULL,NULL
O10236,04:13.0,NULL,NULL
O10237,04:13.0,NULL,NULL
O10238,04:13.0,NULL,NULL
O10239,04:13.0,NULL,NULL
O10240,04:13.0,NULL,NULL
O10241,04:13.0,NULL,NULL
O10242,04:13.0,NULL,NULL
O10243,04:13.0,NULL,NULL
O10244,04:13.0,NULL,NULL
O10245,04:13.0,NULL,NULL
O10246,04:13.0,NULL,NULL
O10247,04:13.0,NULL,NULL
O10248,04:13.0,NULL,NULL
O10249,04:13.0,NULL,NULL
O10250,04:13.0,NULL,NULL
O10251,04:13.0,NULL,NULL
O10252,04:13.0,NULL,NULL
O10253,04:13.0,NULL,NULL
O10254,04:13.0,NULL,NULL
O10255,04:13.0,NULL,NULL
O10256,04:13.0,NULL,NULL
O10257,04:13.0,NULL,NULL
O10258,04:13.0,NULL,NULL
O10259,04:13.0,NULL,NULL
O10260,04:13.0,NULL,NULL
O10261,04:13.0,NULL,NULL
O10262,04:13.0,NULL,NULL
O10263,04:13.0,NULL,NULL
O10264,04:13.0,NULL,NULL
O10265,04:13.0,NULL,NULL
O10266,04:13.0,NULL,NULL
O10267,04:13.0,NULL,NULL
O10268,04:13.0,NULL,NULL
O10269,04:13.0,NULL,NULL
O10270,04:13.0,NULL,NULL
O10271,04:13.0,NULL,NULL
O10272,04:13.0,NULL,NULL
O10273,04:13.0,NULL,NULL
O10274,04:13.0,NULL,NULL
O10275,04:13.0,NULL,NULL
O10276,04:13.0,NULL,NULL
O10277,04:13.0,NULL,NULL
O10278,04:13.0,NULL,NULL
O10279,04:13.0,NULL,NULL
O10280,04:13.0,NULL,NULL
O10281,04:13.0,NULL,NULL
O10282,04:13.0,NULL,NULL
O10283,04:13.0,NULL,NULL
O10284,04:13.0,NULL,NULL
O10285,04:13.0,NULL,NULL
O10286,04:13.0,NULL,NULL
O10287,04:13.0,NULL,NULL
O10288,04:13.0,NULL,NULL
O10289,04:13.0,NULL,NULL
O10290,04:13.0,NULL,NULL
O10291,04:13.0,NULL,NULL
O10292,04:13.0,NULL,NULL
O10293,04:13.0,NULL,NULL
O10294,04:13.0,NULL,NULL
O10295,04:13.0,NULL,NULL
O10296,04:13.0,NULL,NULL
O10297,04:13.0,NULL,NULL
O10298,04:13.0,NULL,NULL
O10299,04:13.0,NULL,NULL
O10300,04:13.0,NULL,NULL
O10301,04:13.0,NULL,NULL
O10302,04:13.0,NULL,NULL
O10303,04:13.0,NULL,NULL
O10304,04:13.0,NULL,NULL
O10305,04:13.0,NULL,NULL
O10306,04:13.0,NULL,NULL
O10307,04:13.0,NULL,NULL
O10308,04:13.0,NULL,NULL
O10309,04:13.0,NULL,NULL
O10310,04:13.0,NULL,NULL
O10311,04:13.0,NULL,NULL
O10312,04:13.0,NULL,NULL
O10313,04:13.0,NULL,NULL
O10314,04:13.0,NULL,NULL
O10315,04:13.0,NULL,NULL
O10316,04:13.0,NULL,NULL
O10317,04:13.0,NULL,NULL
O10318,04:13.0,NULL,NULL
O10319,04:13.0,NULL,NULL
O10320,04:13.0,NULL,NULL
O10321,04:13.0,NULL,NULL
O10322,04:13.0,NULL,NULL
O10323,04:13.0,NULL,NULL
O10324,04:13.0,NULL,NULL
O10325,04:13.0,NULL,NULL
O10326,04:13.0,NULL,NULL
O10327,04:13.0,NULL,NULL
O10328,04:13.0,NULL,NULL
O10329,04:13.0,NULL,NULL
O10330,04:13.0,NULL,NULL
O10331,04:13.0,NULL,NULL
O10332,04:13.0,NULL,NULL
O10333,04:13.0,NULL,NULL
O10334,04:13.0,NULL,NULL
O10335,04:13.0,NULL,NULL
O10336,04:13.0,NULL,NULL
O10337,04:13.0,NULL,NULL
O10338,04:13.0,NULL,NULL
O10339,04:13.0,NULL,NULL
O10340,04:13.0,NULL,NULL
O10341,04:13.0,NULL,NULL
O10342,04:13.0,NULL,NULL
O10343,04:13.0,NULL,NULL
O10344,04:13.0,NULL,NULL
O10345,04:13.0,NULL,NULL
